date,EUR/EUR,JPY/EUR,USD/EUR,CNY/EUR,INR/EUR,RUB/EUR,CHF/EUR,MXN/EUR,AUD/EUR,KRW/EUR,,2010-01-01
2021-08-01,1,0.7693,0.8467,0.131,0.0116,0.01149,0.9249,0.04216,0.6193,0.00073,,2021-09-01
2021-09-01,1,0.7755,0.8632,0.1339,0.01165,0.01184,0.9263,0.04179,0.6237,0.000729,,2021-10-01
2021-10-01,1,0.7583,0.8647,0.135,0.01155,0.01218,0.944,0.04205,0.6503,0.000737,,2021-11-01
2021-11-01,1,0.7792,0.8819,0.1386,0.01175,0.0119,0.9595,0.0411,0.6282,0.000746,,2021-12-01
2021-12-01,1,0.7639,0.8794,0.1383,0.01181,0.01172,0.9636,0.04289,0.6384,0.00074,,2022-01-01
2022-01-01,1,0.773,0.8899,0.1399,0.01194,0.0115,0.9595,0.04311,0.6286,0.000738,,2022-02-01
2022-02-01,1,0.7747,0.891,0.1412,0.01181,0.00842,0.9717,0.04351,0.6471,0.000742,,2022-03-01
2022-03-01,1,0.7422,0.9034,0.1425,0.01189,0.01106,0.9788,0.04542,0.6758,0.000744,,2022-04-01
2022-04-01,1,0.7303,0.9483,0.1435,0.01239,0.01295,0.9739,0.04639,0.6698,0.000751,,2022-05-01
2022-05-01,1,0.7236,0.9314,0.1396,0.012,0.01487,0.9706,0.04737,0.6682,0.00075,,2022-06-01
2022-06-01,1,0.7025,0.9537,0.1423,0.01209,0.01738,0.9984,0.04742,0.6582,0.000741,,2022-07-01
2022-07-01,1,0.7343,0.9783,0.145,0.01235,0.01574,1.0278,0.04799,0.6833,0.000752,,2022-08-01
2022-08-01,1,0.7152,0.9939,0.1442,0.01252,0.01644,1.0166,0.04934,0.6798,0.000742,,2022-09-01
2022-09-01,1,0.7046,1.0201,0.1433,0.01251,0.01695,1.0333,0.05061,0.6531,0.000708,,2022-10-01
2022-10-01,1,0.68,1.0114,0.1385,0.01222,0.01631,1.0099,0.05101,0.647,0.00071,,2022-11-01
2022-11-01,1,0.6959,0.9607,0.1354,0.01179,0.01563,1.0154,0.04982,0.6519,0.000734,,2022-12-01
2022-12-01,1,0.7123,0.9341,0.1354,0.01129,0.01267,1.01,0.04788,0.6364,0.000742,,2010-01-01
,,,,,,,,,,,,2010-02-01
,,,,,,,,,,,,2010-03-01
,,,,,,,,,,,,2010-04-01
,,,,,,,,,,,,2010-05-01
,,,,,,,,,,,,2010-06-01
,,,,,,,,,,,,2010-07-01
,,,,,,,,,,,,2010-08-01
,,,,,,,,,,,,2010-09-01
,,,,,,,,,,,,2010-10-01
,,,,,,,,,,,,2010-11-01
,,,,,,,,,,,,2010-12-01
,,,,,,,,,,,,2011-01-01
,,,,,,,,,,,,2011-02-01
,,,,,,,,,,,,2011-03-01
,,,,,,,,,,,,2011-04-01
,,,,,,,,,,,,2011-05-01
,,,,,,,,,,,,2011-06-01
,,,,,,,,,,,,2011-07-01
,,,,,,,,,,,,2011-08-01
,,,,,,,,,,,,2011-09-01
,,,,,,,,,,,,2011-10-01
,,,,,,,,,,,,2011-11-01
,,,,,,,,,,,,2011-12-01
,,,,,,,,,,,,2012-01-01
,,,,,,,,,,,,2012-02-01
,,,,,,,,,,,,2012-03-01
,,,,,,,,,,,,2012-04-01
,,,,,,,,,,,,2012-05-01
,,,,,,,,,,,,2012-06-01
,,,,,,,,,,,,2012-07-01
,,,,,,,,,,,,2012-08-01
,,,,,,,,,,,,2012-09-01
,,,,,,,,,,,,2012-10-01
,,,,,,,,,,,,2012-11-01
,,,,,,,,,,,,2012-12-01
,,,,,,,,,,,,2013-01-01
,,,,,,,,,,,,2013-02-01
,,,,,,,,,,,,2013-03-01
,,,,,,,,,,,,2013-04-01
,,,,,,,,,,,,2013-05-01
,,,,,,,,,,,,2013-06-01
,,,,,,,,,,,,2013-07-01
,,,,,,,,,,,,2013-08-01
,,,,,,,,,,,,2013-09-01
,,,,,,,,,,,,2013-10-01
,,,,,,,,,,,,2013-11-01
,,,,,,,,,,,,2013-12-01
,,,,,,,,,,,,2014-01-01
,,,,,,,,,,,,2014-02-01
,,,,,,,,,,,,2014-03-01
,,,,,,,,,,,,2014-04-01
,,,,,,,,,,,,2014-05-01
,,,,,,,,,,,,2014-06-01
,,,,,,,,,,,,2014-07-01
,,,,,,,,,,,,2014-08-01
,,,,,,,,,,,,2014-09-01
,,,,,,,,,,,,2014-10-01
,,,,,,,,,,,,2014-11-01
,,,,,,,,,,,,2014-12-01
,,,,,,,,,,,,2015-01-01
,,,,,,,,,,,,2015-02-01
,,,,,,,,,,,,2015-03-01
,,,,,,,,,,,,2015-04-01
,,,,,,,,,,,,2015-05-01
,,,,,,,,,,,,2015-06-01
,,,,,,,,,,,,2015-07-01
,,,,,,,,,,,,2015-08-01
,,,,,,,,,,,,2015-09-01
,,,,,,,,,,,,2015-10-01
,,,,,,,,,,,,2015-11-01
,,,,,,,,,,,,2015-12-01
,,,,,,,,,,,,2016-01-01
,,,,,,,,,,,,2016-02-01
,,,,,,,,,,,,2016-03-01
,,,,,,,,,,,,2016-04-01
,,,,,,,,,,,,2016-05-01
,,,,,,,,,,,,2016-06-01
,,,,,,,,,,,,2016-07-01
,,,,,,,,,,,,2016-08-01
,,,,,,,,,,,,2016-09-01
,,,,,,,,,,,,2016-10-01
,,,,,,,,,,,,2016-11-01
,,,,,,,,,,,,2016-12-01
,,,,,,,,,,,,2017-01-01
,,,,,,,,,,,,2017-02-01
,,,,,,,,,,,,2017-03-01
,,,,,,,,,,,,2017-04-01
,,,,,,,,,,,,2017-05-01
,,,,,,,,,,,,2017-06-01
,,,,,,,,,,,,2017-07-01
,,,,,,,,,,,,2017-08-01
,,,,,,,,,,,,2017-09-01
,,,,,,,,,,,,2017-10-01
,,,,,,,,,,,,2017-11-01
,,,,,,,,,,,,2017-12-01
,,,,,,,,,,,,2018-01-01
,,,,,,,,,,,,2018-02-01
,,,,,,,,,,,,2018-03-01
,,,,,,,,,,,,2018-04-01
,,,,,,,,,,,,2018-05-01
,,,,,,,,,,,,2018-06-01
,,,,,,,,,,,,2018-07-01
,,,,,,,,,,,,2018-08-01
,,,,,,,,,,,,2018-09-01
,,,,,,,,,,,,2018-10-01
,,,,,,,,,,,,2018-11-01
,,,,,,,,,,,,2018-12-01
,,,,,,,,,,,,2019-01-01
,,,,,,,,,,,,2019-02-01
,,,,,,,,,,,,2019-03-01
,,,,,,,,,,,,2019-04-01
,,,,,,,,,,,,2019-05-01
,,,,,,,,,,,,2019-06-01
,,,,,,,,,,,,2019-07-01
,,,,,,,,,,,,2019-08-01
,,,,,,,,,,,,2019-09-01
,,,,,,,,,,,,2019-10-01
,,,,,,,,,,,,2019-11-01
,,,,,,,,,,,,2019-12-01
,,,,,,,,,,,,2020-01-01
,,,,,,,,,,,,2020-02-01
,,,,,,,,,,,,2020-03-01
,,,,,,,,,,,,2020-04-01
,,,,,,,,,,,,2020-05-01
,,,,,,,,,,,,2020-06-01
,,,,,,,,,,,,2020-07-01
,,,,,,,,,,,,2020-08-01
,,,,,,,,,,,,2020-09-01
,,,,,,,,,,,,2020-10-01
,,,,,,,,,,,,2020-11-01
,,,,,,,,,,,,2020-12-01
,,,,,,,,,,,,2021-01-01
,,,,,,,,,,,,2021-02-01
,,,,,,,,,,,,2021-03-01
,,,,,,,,,,,,2021-04-01
,,,,,,,,,,,,2021-05-01
,,,,,,,,,,,,2021-06-01
,,,,,,,,,,,,2021-07-01
,,,,,,,,,,,,2021-08-01
,,,,,,,,,,,,2021-09-01
,,,,,,,,,,,,2021-10-01
,,,,,,,,,,,,2021-11-01
,,,,,,,,,,,,2021-12-01
,,,,,,,,,,,,2022-01-01
,,,,,,,,,,,,2022-02-01
,,,,,,,,,,,,2022-03-01
,,,,,,,,,,,,2022-04-01
,,,,,,,,,,,,2022-05-01
,,,,,,,,,,,,2022-06-01
,,,,,,,,,,,,2022-07-01
,,,,,,,,,,,,2022-08-01
,,,,,,,,,,,,2022-09-01
,,,,,,,,,,,,2022-10-01
,,,,,,,,,,,,2022-11-01
,,,,,,,,,,,,2022-12-01
,,,,,,,,,,,,2010-01-01
,,,,,,,,,,,,2010-02-01
,,,,,,,,,,,,2010-03-01
,,,,,,,,,,,,2010-04-01
,,,,,,,,,,,,2010-05-01
,,,,,,,,,,,,2010-06-01
,,,,,,,,,,,,2010-07-01
,,,,,,,,,,,,2010-08-01
,,,,,,,,,,,,2010-09-01
,,,,,,,,,,,,2010-10-01
,,,,,,,,,,,,2010-11-01
,,,,,,,,,,,,2010-12-01
,,,,,,,,,,,,2011-01-01
,,,,,,,,,,,,2011-02-01
,,,,,,,,,,,,2011-03-01
,,,,,,,,,,,,2011-04-01
,,,,,,,,,,,,2011-05-01
,,,,,,,,,,,,2011-06-01
,,,,,,,,,,,,2011-07-01
,,,,,,,,,,,,2011-08-01
,,,,,,,,,,,,2011-09-01
,,,,,,,,,,,,2011-10-01
,,,,,,,,,,,,2011-11-01
,,,,,,,,,,,,2011-12-01
,,,,,,,,,,,,2012-01-01
,,,,,,,,,,,,2012-02-01
,,,,,,,,,,,,2012-03-01
,,,,,,,,,,,,2012-04-01
,,,,,,,,,,,,2012-05-01
,,,,,,,,,,,,2012-06-01
,,,,,,,,,,,,2012-07-01
,,,,,,,,,,,,2012-08-01
,,,,,,,,,,,,2012-09-01
,,,,,,,,,,,,2012-10-01
,,,,,,,,,,,,2012-11-01
,,,,,,,,,,,,2012-12-01
,,,,,,,,,,,,2013-01-01
,,,,,,,,,,,,2013-02-01
,,,,,,,,,,,,2013-03-01
,,,,,,,,,,,,2013-04-01
,,,,,,,,,,,,2013-05-01
,,,,,,,,,,,,2013-06-01
,,,,,,,,,,,,2013-07-01
,,,,,,,,,,,,2013-08-01
,,,,,,,,,,,,2013-09-01
,,,,,,,,,,,,2013-10-01
,,,,,,,,,,,,2013-11-01
,,,,,,,,,,,,2013-12-01
,,,,,,,,,,,,2014-01-01
,,,,,,,,,,,,2014-02-01
,,,,,,,,,,,,2014-03-01
,,,,,,,,,,,,2014-04-01
,,,,,,,,,,,,2014-05-01
,,,,,,,,,,,,2014-06-01
,,,,,,,,,,,,2014-07-01
,,,,,,,,,,,,2014-08-01
